구분,지역,이름,주소,상세주소,주차시설,홈페이지
관광,강진,백련사,전라남도 강진군 도암면 백련사길 145,,가능,http://www.baekryunsa.net/
관광,강진,강진군,전라남도 강진군 강진읍 탐진로 111,,가능,http://www.gangjin.go.kr/
관광,강진,전라병영성,전라남도 강진군 병영면 병영성로 175,,가능,-
관광,강진,무위사,전라남도 강진군 성전면 무위사로 308,,가능,-
관광,강진,정다산유적지(다산초당),전라남도 강진군 도암면 다산로 726-13,,가능,-
관광,강진,영랑생가,전라남도 강진군 강진읍 영랑생가길 15,,없음,-
관광,강진,강진다원,전라남도 강진군 성전면 백운로 93-25,,무료,-
관광,강진,다산박물관,전라남도 강진군 도암면 다산로 766-20,,무료,http://dasan.gangjin.go.kr/
관광,강진,마량놀토수산시장,전라남도 강진군 마량면 미항로 150,,가능,-
관광,강진,한국민화뮤지엄,전라남도 강진군 대구면 청자촌길 61-5,,무료,http://minhwamuseum.com/
관광,강진,고려청자박물관,전라남도 강진군 대구면 청자촌길 33,,무료,http://www.celadon.go.kr/
관광,강진,강진 가우도,전라남도 강진군 도암면 월곶로 473,,-,http://www.gaudo.co/
관광,강진,남미륵사,전라남도 강진군 군동면 풍동1길 24-13,,가능,-
관광,강진,강진 오감통,전라남도 강진군 강진읍 오감길 2,,가능,-
관광,고흥,마복산목재문화체험장,전라남도 고흥군 포두면 우주로 1296,,가능,http://singihan.goheung.go.kr/subPage.phppage=0301
관광,고흥,분청문화박물관,전라남도 고흥군 두원면 분청문화박물관길 99,,가능,http://buncheong.goheung.go.kr/
관광,고흥,발포역사전시체험관,전라남도 고흥군 도화면 충무사길 101-13,,가능,-
관광,고흥,미르마루길,전남 고흥군 영남면 우천리,,-,-
관광,고흥,천등산,전남 고흥군 풍양면 송정리 산 1,,-,-
관광,고흥,능가사,전라남도 고흥군 점암면 팔봉길 21,,-,https://www.neunggasa.org/
관광,고흥,남열해돋이해수욕장,전남 고흥군 영남면 남열리 175-2,전남 고흥군 영남면 남열리 1384-1,-,-
관광,고흥,봉래산,전남 고흥군 봉래면 외초리 산 244-2,,-,-
관광,고흥,적대봉,전남 고흥군 금산면 석정리,,-,-
관광,고흥,연홍도,전남 고흥군 금산면 신전리,,-,http://tour.goheung.go.kr:8000/
관광,고흥,고흥군,전라남도 고흥군 고흥읍 고흥군청로 1,,가능,http://www.goheung.go.kr/open_content/main/main.html
관광,고흥,팔영산,전라남도 고흥군 점암면 팔봉길 19-51,,-,-
관광,고흥,팔영산 편백치유의 숲,전라남도 고흥군 점암면 팔봉길 11-12,,가능,http://singihan.goheung.go.kr/
관광,고흥,나로우주센터 우주과학관,전라남도 고흥군 봉래면 하반로 490,,가능,-
관광,고흥,고흥 우주천문과학관,전라남도 고흥군 도양읍 장기산선암길 353,,가능,http://star.goheung.go.kr/
관광,고흥,팔영산 편백 치유의숲 테라피센터,전라남도 고흥군 영남면 천사로 529-191,,,
관광,고흥,소록도,전라남도 고흥군 도양읍 소록해안길 65,,가능,http://www.sorokdo.go.kr/index.jsp
관광,고흥,고흥 우주발사전망대,전라남도 고흥군 영남면 해맞이로 840,,무료,-
관광,고흥,해창만오토캠핑장,전라남도 고흥군 포두면 팔영로 405,,가능,http://hcmcamping.com/
관광,고흥,용바위,전라남도 고흥군 영남면 용바위길 22,,가능,http://tour.goheung.go.kr/tour/sights/best/04.do
관광,고흥,원시의 섬 시호도,전남 고흥군 동일면 덕흥리,,없음,https://sihodo.goheung.go.kr/website_id=36&menu_id=473&
관광,고흥,애도(쑥섬),전라남도 고흥군 봉래면 애도길 43,,-,http://www.ssookseom.com/
관광,고흥,거금생태숲,전라남도 고흥군 금산면 거금일주로 1809-27,,가능,-
관광,곡성,섬진강기차마을,전라남도 곡성군 오곡면 기차마을로 232,,가능,http://www.gstrain.co.kr/
관광,곡성,함허정,전라남도 곡성군 입면 청계동로 908-8,,없음, https://korean.visitkorea.or.kr/detail/ms_detail.docotid=8528c640-c226-4dba-839a-a71cde4d7525
관광,곡성,도림사,전라남도 곡성군 곡성읍 도림로 175,,없음,http://www.gokseong.go.kr/tour/tourist/regionmode=view&idx=24
관광,곡성,단군전,전라남도 곡성군 곡성읍 영운1길 33,,없음,http://www.gokseong.go.kr/tour/tourist/tourallmode=view&idx=7
관광,곡성,압록유원지,전라남도 곡성군 죽곡면 조사길 7,,,http://www.gokseong.go.kr/tour/tourist/tourallmode=view&idx=56
관광,곡성,용산재,전라남도 곡성군 목사동면 신숭겸로 226,,없음,http://www.gokseong.go.kr/tour/tourist/tourallmode=view&idx=28
관광,곡성,관음사,전라남도 곡성군 오산면 성덕관음길 453,,없음,http://www.gokseong.go.kr/tour/tourist/tourallmode=view&idx=22
관광,곡성,섬진강레일바이크,전라남도 곡성군 오곡면 섬진강로 1877,,가능,http://www.gstrain.co.kr/
관광,곡성,섬진강도깨비마을,전라남도 곡성군 곡성읍 중앙로 58-1,,없음,http://www.dokaebi.co.kr/
